trial_type	equation	solution	comparison	equation_representation	comparison_representation	feedback	rounded_difference	equation_duration	isi1	comparison_duration	isi2	feedback_duration	iti
baseline	20	20.0	19	word	numeric	informative	-1	2.6	5.5	1.2	4.9	0.5	5.3
math	30/8	3.8	1	word	numeric	informative	-3	2.4	4.2	2.6	3.6	0.5	3.8
math	23-13	10.0	1	word	word	informative	-9	1.0	4.0	1.4	5.5	0.5	3.7
baseline	6	6.0	1	word	word	noninformative	-5	2.2	5.9	1.6	4.3	0.5	4.0
math	11+11	22.0	31	numeric	word	informative	9	1.2	3.4	2.3	4.0	0.5	3.5
baseline	30	30.0	33	numeric	word	noninformative	3	1.2	4.8	2.9	3.8	0.5	4.2
math	8*29	232.0	230	word	word	noninformative	-2	2.1	7.1	1.7	5.3	0.5	3.4
baseline	15	15.0	5	word	word	informative	-10	1.5	6.0	1.2	3.5	0.5	4.7
math	25+10	35.0	36	numeric	word	noninformative	1	2.3	7.9	1.1	3.8	0.5	5.3
baseline	25	25.0	27	word	numeric	informative	2	2.0	4.0	1.1	6.3	0.5	2.5
math	12-30	-18.0	-19	numeric	word	informative	-1	1.7	5.6	1.0	5.6	0.5	5.7
math	6+10	16.0	16	numeric	numeric	noninformative	0	2.0	4.7	2.5	3.2	0.5	2.8
math	14-11	3.0	5	word	numeric	informative	2	1.3	3.8	1.6	4.2	0.5	5.4
math	24+6	30.0	39	numeric	numeric	noninformative	9	2.7	4.3	1.7	3.8	0.5	4.6
math	9/1	9.0	2	numeric	numeric	noninformative	-7	1.7	6.9	1.8	5.3	0.5	3.4
baseline	11	11.0	13	word	numeric	informative	2	1.9	3.5	1.0	5.3	0.5	6.0
baseline	9	9.0	7	numeric	word	noninformative	-2	2.3	5.1	1.4	5.1	0.5	5.6
math	25/14	1.8	-2	numeric	numeric	informative	-4	1.9	4.1	2.5	5.3	0.5	6.7
math	26*19	494.0	488	numeric	word	informative	-6	1.6	4.7	1.8	4.4	0.5	4.0
math	8*18	144.0	151	numeric	numeric	noninformative	7	1.7	5.5	1.5	4.5	0.5	6.7
math	17-20	-3.0	2	word	numeric	noninformative	5	2.4	3.0	1.1	3.4	0.5	2.9
math	17/1	17.0	17	word	word	noninformative	0	1.0	7.1	2.0	4.7	0.5	4.5
math	9*14	126.0	135	word	word	informative	9	2.2	3.8	1.9	3.6	0.5	3.8
baseline	15	15.0	12	numeric	numeric	noninformative	-3	2.2	5.1	2.2	2.2	0.5	3.6
