trial_type	equation	solution	comparison	equation_representation	comparison_representation	feedback	rounded_difference	equation_duration	isi1	comparison_duration	isi2	feedback_duration	iti
baseline	7	7.0	12	numeric	numeric	noninformative	5	1.4	4.8	2.7	3.4	0.5	4.0
baseline	5	5.0	13	word	word	informative	8	2.6	5.0	2.5	4.3	0.5	4.3
math	10*11	110.0	110	word	numeric	noninformative	0	2.7	4.6	1.1	4.2	0.5	4.6
math	24+22	46.0	47	word	word	informative	1	2.4	3.1	1.8	7.0	0.5	4.9
baseline	11	11.0	8	numeric	numeric	noninformative	-3	3.0	3.8	1.1	3.3	0.5	3.9
baseline	6	6.0	4	numeric	numeric	informative	-2	2.4	5.8	1.6	4.0	0.5	3.8
math	23/14	1.6	-2	numeric	word	noninformative	-4	1.8	3.4	2.1	4.6	0.5	4.1
math	25-5	20.0	11	numeric	numeric	informative	-9	2.2	4.5	2.3	3.9	0.5	5.2
math	17*18	306.0	297	word	numeric	noninformative	-9	1.5	5.0	1.6	4.8	0.5	6.7
math	13-1	12.0	7	word	word	informative	-5	2.6	4.4	1.5	6.4	0.5	4.2
baseline	12	12.0	8	word	numeric	noninformative	-4	1.8	3.7	2.4	3.7	0.5	5.1
baseline	20	20.0	16	numeric	word	noninformative	-4	2.0	2.7	1.4	5.4	0.5	6.4
math	28-17	11.0	1	numeric	numeric	noninformative	-10	2.0	4.1	2.9	5.6	0.5	3.1
math	3*20	60.0	61	numeric	word	noninformative	1	1.6	5.1	2.3	3.2	0.5	4.0
math	28/21	1.3	-6	numeric	word	noninformative	-7	1.9	4.2	1.7	5.0	0.5	3.9
math	20*18	360.0	355	numeric	numeric	informative	-5	1.2	4.3	2.5	3.4	0.5	3.5
baseline	12	12.0	11	word	word	noninformative	-1	2.1	6.0	2.3	3.9	0.5	4.4
baseline	11	11.0	9	word	numeric	noninformative	-2	1.9	6.2	2.1	4.3	0.5	5.0
math	12/3	4.0	3	word	numeric	informative	-1	2.7	7.1	2.6	4.8	0.5	5.8
math	28-20	8.0	7	numeric	word	informative	-1	2.2	2.9	1.4	5.3	0.5	4.0
math	27+21	48.0	49	word	word	informative	1	1.0	3.7	2.8	3.4	0.5	3.9
math	22+29	51.0	61	word	word	informative	10	2.0	5.9	2.2	6.1	0.5	5.5
math	19/6	3.2	3	numeric	numeric	informative	0	3.0	4.4	1.9	5.6	0.5	5.7
math	4+20	24.0	21	word	word	informative	-3	2.9	3.1	2.1	4.1	0.5	8.7
