trial_type	equation	solution	comparison	equation_representation	comparison_representation	feedback	rounded_difference	duration	comparison_duration	feedback_duration	iti	isi1	isi2
math	7+27	34.0	34	word	numeric	noninformative	0	2.8	1.4	2.0	5.2	5.0	4.5
math	21-28	-7.0	-7	word	numeric	informative	0	2.7	2.4	2.0	4.8	3.2	5.6
math	27*2	54.0	60	numeric	numeric	noninformative	6	3.0	2.6	2.0	6.1	4.5	4.7
math	10*27	270.0	271	numeric	word	informative	1	1.1	1.4	2.0	5.9	5.1	5.7
math	30/14	2.1	8	word	word	informative	6	1.8	1.2	2.0	4.6	3.4	3.0
math	18/15	1.2	2	word	numeric	noninformative	1	2.2	1.8	2.0	6.0	3.7	3.5
baseline	6	6.0	4	word	numeric	informative	-2	1.8	2.1	2.0	5.8	5.8	4.0
math	2+9	11.0	6	word	numeric	noninformative	-5	1.0	2.4	2.0	6.5	3.9	5.2
baseline	4	4.0	7	numeric	word	informative	3	1.3	2.9	2.0	6.2	4.6	4.7
math	29*28	812.0	816	numeric	numeric	noninformative	4	2.1	1.8	2.0	5.1	3.9	5.0
baseline	13	13.0	14	numeric	numeric	informative	1	2.1	2.5	2.0	3.3	3.4	4.5
math	1-10	-9.0	-10	word	numeric	informative	-1	2.3	1.4	2.0	5.3	4.5	4.7
baseline	1	1.0	-3	numeric	numeric	noninformative	-4	1.9	1.8	2.0	4.8	5.7	6.0
baseline	30	30.0	28	word	numeric	noninformative	-2	2.0	2.4	2.0	3.9	6.2	4.0
math	8-8	0.0	4	word	word	informative	4	2.3	1.6	2.0	4.2	5.3	4.6
math	18/3	6.0	14	numeric	word	noninformative	8	3.0	1.9	2.0	5.3	3.5	3.5
math	24-13	11.0	9	numeric	word	noninformative	-2	2.9	1.8	2.0	4.1	3.9	4.0
math	12*20	240.0	247	numeric	numeric	informative	7	3.0	1.7	2.0	2.9	4.4	4.0
baseline	1	1.0	6	word	word	noninformative	5	1.6	2.2	2.0	3.8	4.3	6.5
math	16+15	31.0	31	numeric	word	noninformative	0	1.9	1.0	2.0	5.2	7.4	3.1
baseline	8	8.0	10	numeric	word	informative	2	1.4	1.9	2.0	3.3	7.9	5.5
math	21/20	1.1	-3	numeric	word	informative	-4	2.3	1.7	2.0	4.6	5.0	3.5
math	3+18	21.0	16	word	word	informative	-5	2.2	2.4	2.0	6.0	4.3	6.8
baseline	15	15.0	12	word	word	noninformative	-3	1.3	1.4	2.0	6.9	3.7	3.3
