trial_type	equation	solution	comparison	equation_representation	comparison_representation	feedback	rounded_difference	equation_duration	isi1	comparison_duration	isi2	feedback_duration	iti
math	16-26	-10.0	-6	word	numeric	noninformative	4	2.7	3.5	2.0	4.0	0.5	4.0
math	29/10	2.9	5	numeric	numeric	informative	2	1.6	6.6	2.3	6.9	0.5	4.0
baseline	19	19.0	17	word	numeric	noninformative	-2	1.1	4.7	2.5	3.1	0.5	3.6
baseline	18	18.0	9	word	word	informative	-9	2.5	3.5	1.9	3.5	0.5	3.8
math	17/7	2.4	3	numeric	word	informative	1	1.9	4.0	2.6	3.4	0.5	3.8
baseline	23	23.0	23	word	numeric	noninformative	0	2.1	4.1	1.9	4.1	0.5	5.2
math	4+3	7.0	17	numeric	word	noninformative	10	2.5	3.4	1.3	3.3	0.5	3.1
baseline	7	7.0	7	numeric	word	informative	0	2.7	5.3	2.3	7.9	0.5	3.6
math	15*17	255.0	253	numeric	word	noninformative	-2	2.5	2.6	2.0	4.1	0.5	5.2
math	21+3	24.0	18	word	word	informative	-6	2.5	5.4	2.3	3.7	0.5	5.0
math	27-26	1.0	3	numeric	numeric	noninformative	2	1.5	5.2	1.2	6.2	0.5	5.1
math	3*4	12.0	9	numeric	numeric	informative	-3	2.4	2.4	2.3	3.7	0.5	3.3
baseline	4	4.0	9	numeric	numeric	noninformative	5	1.1	5.8	2.0	3.8	0.5	4.0
math	18/3	6.0	-1	numeric	numeric	noninformative	-7	1.8	4.7	2.5	3.4	0.5	4.3
math	16+30	46.0	54	word	word	noninformative	8	2.2	5.8	1.9	5.4	0.5	4.3
baseline	27	27.0	24	word	numeric	informative	-3	1.5	4.7	1.7	3.3	0.5	4.0
math	17/6	2.8	-1	word	numeric	noninformative	-4	1.6	5.3	2.0	5.5	0.5	3.5
math	3*29	87.0	91	numeric	numeric	informative	4	2.4	2.6	2.8	3.8	0.5	5.3
baseline	27	27.0	31	word	word	noninformative	4	2.7	6.6	1.6	3.3	0.5	5.7
math	19-19	0.0	-1	word	word	informative	-1	2.6	5.7	3.0	6.1	0.5	5.1
baseline	3	3.0	11	word	numeric	informative	8	1.0	6.1	1.2	3.9	0.5	3.5
math	21-13	8.0	11	numeric	word	informative	3	2.8	2.5	2.9	3.8	0.5	4.7
math	16+22	38.0	48	numeric	word	noninformative	10	2.6	3.4	2.7	3.7	0.5	5.8
math	16*11	176.0	182	word	word	informative	6	2.9	4.5	2.9	5.2	0.5	15.6
