trial_type	equation	solution	comparison	equation_representation	comparison_representation	feedback	rounded_difference	duration	comparison_duration	feedback_duration	iti	isi1	isi2
math	17+11	28.0	32	numeric	word	informative	4	2.7	2.5	2.0	5.0	6.7	4.3
math	4-30	-26.0	-17	numeric	word	noninformative	9	1.7	1.6	2.0	8.0	6.0	3.1
baseline	16	16.0	16	numeric	numeric	noninformative	0	2.6	1.2	2.0	3.4	3.8	3.5
baseline	9	9.0	8	word	word	noninformative	-1	2.3	2.6	2.0	6.1	4.1	6.5
math	30+11	41.0	38	word	numeric	noninformative	-3	1.7	1.4	2.0	3.4	4.9	4.5
math	13*30	390.0	386	numeric	word	informative	-4	2.4	2.7	2.0	4.8	3.2	4.1
math	20*7	140.0	140	numeric	numeric	informative	0	1.6	2.3	2.0	5.3	3.5	3.8
math	10-1	9.0	7	word	numeric	informative	-2	1.2	1.8	2.0	3.7	5.4	3.8
baseline	1	1.0	2	word	word	noninformative	1	2.7	2.9	2.0	4.5	4.9	4.3
baseline	15	15.0	11	numeric	numeric	noninformative	-4	1.7	1.2	2.0	5.0	5.5	2.6
math	14-3	11.0	14	numeric	numeric	informative	3	1.9	1.6	2.0	4.0	4.9	3.8
math	26/12	2.2	-4	word	word	noninformative	-6	2.9	2.1	2.0	4.0	3.7	4.5
math	14*1	14.0	23	word	numeric	noninformative	9	1.5	1.8	2.0	5.7	7.2	5.2
math	24/21	1.1	3	numeric	word	informative	2	1.1	1.2	2.0	5.5	5.3	4.1
math	16/9	1.8	5	word	word	informative	3	3.0	2.5	2.0	3.5	3.7	6.0
math	13+12	25.0	20	word	word	informative	-5	2.5	1.0	2.0	4.7	3.5	4.5
baseline	9	9.0	5	numeric	numeric	noninformative	-4	1.2	2.3	2.0	3.2	4.5	7.5
math	20+23	43.0	41	numeric	numeric	informative	-2	2.3	2.8	2.0	4.9	4.0	3.6
baseline	11	11.0	7	numeric	word	noninformative	-4	1.7	2.2	2.0	6.0	3.6	4.5
baseline	11	11.0	6	word	word	noninformative	-5	2.5	2.1	2.0	4.1	4.0	3.9
math	27-30	-3.0	1	numeric	numeric	informative	4	1.6	2.7	2.0	6.8	4.3	4.8
math	14*18	252.0	251	word	word	informative	-1	2.6	1.1	2.0	6.4	6.0	4.8
baseline	9	9.0	0	word	numeric	informative	-9	2.6	2.8	2.0	3.8	5.0	3.5
math	2/1	2.0	5	word	numeric	noninformative	3	1.1	2.6	2.0	8.9	6.5	3.8
