trial_type	equation	solution	comparison	equation_representation	comparison_representation	feedback	rounded_difference	equation_duration	isi1	comparison_duration	isi2	feedback_duration	iti
math	2*6	12.0	15	word	numeric	informative	3	1.3	5.5	1.8	4.0	0.5	4.1
math	27+20	47.0	47	numeric	numeric	noninformative	0	2.5	4.5	2.0	5.1	0.5	4.3
math	21+29	50.0	46	word	numeric	noninformative	-4	2.1	6.7	1.9	6.7	0.5	5.2
baseline	11	11.0	8	numeric	word	informative	-3	1.5	4.9	1.5	7.0	0.5	2.8
math	19*1	19.0	21	numeric	numeric	informative	2	1.7	5.7	3.0	2.9	0.5	4.3
baseline	6	6.0	7	word	word	noninformative	1	1.3	4.3	1.8	3.9	0.5	3.7
math	19/11	1.7	8	word	word	informative	6	1.7	4.5	1.9	3.5	0.5	4.2
baseline	27	27.0	36	word	word	informative	9	1.1	2.7	2.8	3.7	0.5	3.6
math	11-11	0.0	-6	word	word	noninformative	-6	1.5	5.1	2.9	4.8	0.5	2.8
math	4*14	56.0	55	word	numeric	informative	-1	2.2	3.4	2.9	3.2	0.5	3.7
baseline	29	29.0	29	word	word	informative	0	2.9	4.2	2.1	3.5	0.5	7.6
math	21/16	1.3	1	numeric	numeric	noninformative	0	2.4	6.5	2.8	3.4	0.5	3.5
baseline	22	22.0	26	numeric	numeric	noninformative	4	2.4	7.2	2.1	4.6	0.5	3.9
math	9/3	3.0	0	numeric	word	informative	-3	1.4	6.0	2.2	2.8	0.5	4.4
math	20*17	340.0	346	numeric	numeric	noninformative	6	2.0	2.8	2.4	2.9	0.5	2.6
math	14-23	-9.0	-3	word	word	informative	6	1.4	3.8	3.0	4.1	0.5	4.3
math	15+30	45.0	40	numeric	word	noninformative	-5	2.6	2.4	1.7	3.2	0.5	3.5
baseline	26	26.0	35	word	word	informative	9	2.6	6.5	2.4	6.2	0.5	2.8
math	14+12	26.0	20	numeric	numeric	noninformative	-6	1.3	5.8	2.9	5.9	0.5	5.0
math	11-5	6.0	-2	numeric	numeric	noninformative	-8	2.9	4.3	1.1	4.4	0.5	6.3
baseline	25	25.0	22	numeric	word	noninformative	-3	1.2	4.1	2.1	5.8	0.5	2.9
math	23/19	1.2	-3	numeric	numeric	noninformative	-4	2.1	4.5	2.4	6.8	0.5	5.2
baseline	24	24.0	17	word	numeric	informative	-7	1.2	3.9	1.5	7.4	0.5	5.5
math	25-28	-3.0	-10	word	word	informative	-7	1.9	6.1	2.8	4.5	0.5	10.9
