trial_type	equation	solution	comparison	equation_representation	comparison_representation	feedback	rounded_difference	duration	comparison_duration	feedback_duration	iti	isi1	isi2
baseline	14	14.0	12	numeric	numeric	noninformative	-2	2.6	2.3	2.0	4.7	4.6	2.9
math	13/11	1.2	-5	word	word	informative	-6	2.7	2.8	2.0	4.0	3.2	4.4
math	2*2	4.0	-1	word	word	noninformative	-5	1.4	2.3	2.0	4.5	4.8	5.1
baseline	23	23.0	32	numeric	numeric	noninformative	9	2.9	2.1	2.0	4.2	4.5	5.2
math	17/2	8.5	14	word	word	informative	5	1.9	2.4	2.0	2.6	4.4	5.5
baseline	26	26.0	28	word	numeric	informative	2	2.6	2.2	2.0	6.3	4.6	4.8
baseline	23	23.0	20	numeric	numeric	informative	-3	1.1	2.0	2.0	3.3	6.7	5.9
math	15*30	450.0	452	word	word	noninformative	2	2.1	1.5	2.0	4.0	4.9	5.5
math	20-11	9.0	14	numeric	numeric	informative	5	2.7	1.2	2.0	6.3	3.5	3.6
math	13*27	351.0	352	word	word	noninformative	1	1.7	2.6	2.0	5.4	6.2	4.0
math	15/10	1.5	4	numeric	word	informative	2	2.5	2.7	2.0	4.8	4.0	5.8
math	3-27	-24.0	-27	word	word	informative	-3	1.1	2.7	2.0	7.1	4.5	5.8
math	29*19	551.0	551	word	numeric	informative	0	1.1	2.9	2.0	4.7	4.6	5.5
math	17+10	27.0	28	word	numeric	informative	1	2.1	2.3	2.0	4.6	4.9	3.9
math	25+11	36.0	35	numeric	numeric	noninformative	-1	1.1	1.9	2.0	5.7	6.8	4.8
math	9-8	1.0	4	numeric	numeric	informative	3	1.0	1.2	2.0	3.8	3.5	3.1
baseline	24	24.0	23	word	numeric	informative	-1	1.7	2.4	2.0	3.8	3.9	4.1
baseline	13	13.0	13	word	word	noninformative	0	1.6	2.6	2.0	4.0	4.3	6.8
baseline	6	6.0	4	numeric	word	noninformative	-2	2.6	2.8	2.0	5.1	4.0	3.7
math	21/5	4.2	-1	numeric	word	noninformative	-5	2.0	1.3	2.0	4.2	3.3	6.3
baseline	8	8.0	10	word	numeric	noninformative	2	2.8	1.3	2.0	5.3	3.1	6.3
math	16+16	32.0	31	numeric	word	noninformative	-1	1.7	2.4	2.0	5.1	3.5	6.9
math	25-5	20.0	19	numeric	word	informative	-1	1.1	1.5	2.0	5.6	5.5	5.4
math	29+17	46.0	49	numeric	numeric	noninformative	3	2.3	2.3	2.0	1.5	4.4	6.3
