trial_type	equation	solution	comparison	equation_representation	comparison_representation	feedback	rounded_difference	equation_duration	isi1	comparison_duration	isi2	feedback_duration	iti
baseline	25	25.0	30	numeric	word	noninformative	5	2.2	4.8	2.8	3.4	0.5	6.3
baseline	1	1.0	1	word	numeric	noninformative	0	2.0	4.1	1.5	3.2	0.5	3.9
math	10-11	-1.0	-5	word	numeric	informative	-4	1.5	6.7	2.7	3.9	0.5	6.3
baseline	29	29.0	24	word	numeric	informative	-5	1.7	3.2	1.3	4.5	0.5	4.2
math	19+19	38.0	28	word	word	informative	-10	2.7	4.0	2.3	5.3	0.5	7.3
math	14*16	224.0	222	numeric	word	noninformative	-2	2.3	5.6	1.7	4.8	0.5	6.4
baseline	18	18.0	15	numeric	numeric	informative	-3	2.5	5.5	2.0	5.0	0.5	6.2
math	2*20	40.0	44	word	word	informative	4	2.0	2.3	1.5	6.3	0.5	4.9
baseline	12	12.0	12	word	numeric	informative	0	2.8	4.1	2.0	4.6	0.5	4.1
math	13+16	29.0	24	numeric	word	noninformative	-5	3.0	4.0	1.0	4.4	0.5	2.5
baseline	24	24.0	28	word	word	noninformative	4	2.6	4.0	1.1	4.2	0.5	4.8
baseline	16	16.0	17	numeric	numeric	noninformative	1	2.8	3.7	1.3	5.2	0.5	3.8
math	5-13	-8.0	-11	numeric	numeric	informative	-3	1.8	4.5	1.9	5.4	0.5	7.2
math	28/26	1.1	2	numeric	word	noninformative	1	2.5	4.0	1.8	5.4	0.5	2.7
math	5-19	-14.0	-10	word	word	informative	4	2.1	5.1	2.3	2.8	0.5	3.5
math	11/1	11.0	12	numeric	word	informative	1	1.9	4.8	1.8	4.4	0.5	3.5
math	11*23	253.0	246	numeric	numeric	informative	-7	2.9	3.7	1.7	3.3	0.5	2.9
math	22+27	49.0	49	word	word	noninformative	0	2.9	3.8	2.3	3.9	0.5	4.3
math	24*19	456.0	454	numeric	numeric	noninformative	-2	2.6	4.2	1.5	5.9	0.5	5.8
baseline	15	15.0	15	numeric	numeric	noninformative	0	1.9	3.3	2.7	4.6	0.5	3.7
math	21-19	2.0	11	word	word	noninformative	9	1.4	6.6	1.8	4.4	0.5	5.9
math	27/14	1.9	3	numeric	word	informative	1	1.7	5.5	2.9	6.5	0.5	3.4
math	11/2	5.5	2	word	numeric	noninformative	-4	1.9	4.1	2.0	4.8	0.5	3.7
math	14+17	31.0	21	word	numeric	informative	-10	1.3	3.6	1.0	6.6	0.5	8.8
