trial_type	equation	solution	comparison	equation_representation	comparison_representation	feedback	rounded_difference	duration	comparison_duration	feedback_duration	iti	isi1	isi2
math	25*3	75.0	76	word	word	informative	1	2.4	2.3	2.0	3.2	3.9	5.8
math	27+2	29.0	24	word	word	informative	-5	1.5	1.6	2.0	3.3	3.0	5.2
math	1*8	8.0	1	numeric	word	noninformative	-7	1.4	2.2	2.0	4.5	3.5	5.3
math	22/12	1.8	4	numeric	numeric	informative	2	1.3	2.5	2.0	3.7	4.9	5.0
baseline	25	25.0	22	word	word	noninformative	-3	1.5	1.6	2.0	5.3	4.6	5.1
math	10-18	-8.0	-9	word	numeric	informative	-1	1.8	1.9	2.0	6.1	4.5	4.5
baseline	9	9.0	9	numeric	word	informative	0	2.9	1.5	2.0	7.5	5.6	5.5
math	15/9	1.7	-1	numeric	word	noninformative	-3	3.0	1.0	2.0	4.1	4.9	3.6
baseline	18	18.0	20	word	word	informative	2	2.7	1.6	2.0	6.6	3.9	4.5
math	21-27	-6.0	0	numeric	numeric	noninformative	6	2.7	2.7	2.0	3.5	5.7	4.9
baseline	30	30.0	32	word	numeric	noninformative	2	2.4	1.9	2.0	4.6	4.4	4.9
math	25-30	-5.0	-6	numeric	numeric	informative	-1	2.0	2.4	2.0	5.0	4.8	3.2
baseline	15	15.0	19	word	word	informative	4	2.4	2.1	2.0	5.0	3.8	3.1
math	1+25	26.0	19	numeric	word	informative	-7	2.4	1.3	2.0	5.3	3.1	5.8
math	22/4	5.5	6	word	numeric	noninformative	1	1.6	2.0	2.0	3.9	4.3	3.9
math	15/7	2.1	3	numeric	numeric	noninformative	1	2.1	1.8	2.0	4.5	5.3	2.6
math	24*16	384.0	384	numeric	numeric	noninformative	0	2.6	2.5	2.0	4.4	5.5	6.1
baseline	15	15.0	13	word	word	noninformative	-2	1.5	1.1	2.0	7.1	4.6	6.3
math	20+17	37.0	38	numeric	numeric	informative	1	1.7	2.5	2.0	7.1	4.4	2.7
baseline	14	14.0	13	numeric	numeric	informative	-1	1.2	2.1	2.0	5.2	6.5	6.6
math	16-27	-11.0	-8	word	word	noninformative	3	2.2	2.3	2.0	3.5	6.8	4.8
baseline	1	1.0	-2	word	numeric	noninformative	-3	1.4	2.3	2.0	4.1	4.2	3.5
math	10*20	200.0	200	word	numeric	noninformative	0	3.0	1.9	2.0	5.3	5.5	6.8
math	1+1	2.0	2	numeric	word	informative	0	2.0	2.4	2.0	0.2	5.5	4.9
