trial_type	equation	solution	comparison	equation_representation	comparison_representation	feedback	rounded_difference	equation_duration	isi1	comparison_duration	isi2	feedback_duration	iti
math	28/13	2.2	-6	numeric	numeric	informative	-8	1.6	3.9	2.4	2.6	0.5	6.2
math	4+20	24.0	20	word	word	informative	-4	2.5	4.6	2.8	3.2	0.5	2.8
math	18-28	-10.0	-10	word	numeric	noninformative	0	1.6	3.9	1.4	6.0	0.5	5.3
baseline	18	18.0	16	numeric	numeric	informative	-2	1.0	4.1	2.2	6.2	0.5	6.6
math	10*21	210.0	201	word	word	noninformative	-9	1.4	3.6	2.6	6.0	0.5	4.1
baseline	13	13.0	9	word	word	informative	-4	1.7	3.3	1.3	2.9	0.5	3.5
math	2*22	44.0	44	numeric	word	informative	0	2.2	4.5	2.9	3.6	0.5	5.2
baseline	28	28.0	34	word	numeric	informative	6	2.0	7.4	1.5	3.7	0.5	3.9
math	12+17	29.0	28	word	numeric	noninformative	-1	1.2	3.9	2.6	4.6	0.5	4.6
math	13*6	78.0	80	numeric	numeric	informative	2	1.5	3.9	1.4	3.5	0.5	5.9
math	29/23	1.3	-1	word	word	noninformative	-2	3.0	5.2	2.9	3.6	0.5	5.3
math	10+9	19.0	21	word	word	noninformative	2	2.4	5.7	2.9	5.3	0.5	6.4
math	15-11	4.0	4	numeric	word	informative	0	1.2	4.5	2.6	3.8	0.5	4.7
math	17*14	238.0	242	numeric	numeric	noninformative	4	1.5	3.5	1.6	3.5	0.5	4.5
math	10-29	-19.0	-13	numeric	word	noninformative	6	2.6	3.7	3.0	3.6	0.5	5.7
math	22+10	32.0	24	word	word	noninformative	-8	1.6	4.2	1.4	3.2	0.5	3.8
math	5/5	1.0	8	word	numeric	noninformative	7	2.7	6.9	1.6	4.1	0.5	5.4
baseline	27	27.0	30	numeric	numeric	noninformative	3	2.4	4.3	1.4	5.6	0.5	3.2
baseline	20	20.0	16	numeric	word	informative	-4	1.9	2.9	1.2	5.9	0.5	3.9
math	16-21	-5.0	-6	word	word	informative	-1	2.4	4.7	2.5	5.8	0.5	4.4
math	27/18	1.5	0	word	numeric	informative	-1	1.1	5.6	2.4	3.8	0.5	5.3
baseline	10	10.0	11	numeric	numeric	informative	1	1.6	4.6	1.7	4.4	0.5	7.1
baseline	6	6.0	4	numeric	word	noninformative	-2	2.1	5.8	2.9	4.6	0.5	6.1
baseline	29	29.0	27	numeric	numeric	noninformative	-2	2.6	4.9	2.5	2.8	0.5	8.7
