trial_type	equation	solution	comparison	equation_representation	comparison_representation	feedback	rounded_difference	duration	comparison_duration	feedback_duration	iti	isi1	isi2
math	15/1	15.0	9	word	word	informative	-6	2.3	1.7	2.0	5.6	3.8	5.3
baseline	16	16.0	18	numeric	numeric	informative	2	2.8	2.0	2.0	5.6	3.9	5.1
baseline	5	5.0	0	numeric	numeric	informative	-5	1.4	2.0	2.0	7.7	4.7	4.1
math	26+24	50.0	54	numeric	word	informative	4	2.5	2.6	2.0	5.8	3.1	7.4
math	13+7	20.0	14	numeric	word	noninformative	-6	2.8	2.8	2.0	3.7	5.2	6.6
baseline	15	15.0	14	word	numeric	noninformative	-1	1.2	2.2	2.0	5.0	5.8	4.3
baseline	14	14.0	5	word	numeric	noninformative	-9	2.6	1.4	2.0	6.8	4.3	4.3
math	2-25	-23.0	-24	numeric	word	informative	-1	1.9	1.3	2.0	4.1	3.8	5.0
math	22-28	-6.0	-7	word	numeric	informative	-1	1.3	1.0	2.0	3.4	3.0	4.0
math	12*12	144.0	151	numeric	word	noninformative	7	1.4	1.6	2.0	4.5	3.7	5.2
math	12-9	3.0	7	word	numeric	noninformative	4	2.8	1.9	2.0	7.0	4.3	5.3
baseline	13	13.0	4	word	numeric	noninformative	-9	1.4	1.6	2.0	3.1	5.0	4.3
math	25/7	3.6	2	word	numeric	noninformative	-2	2.5	1.7	2.0	6.3	3.6	3.8
math	27/3	9.0	10	word	word	informative	1	2.3	2.7	2.0	5.3	4.4	6.1
baseline	20	20.0	15	numeric	word	noninformative	-5	2.4	1.4	2.0	4.3	4.8	6.4
math	15+13	28.0	23	numeric	numeric	informative	-5	1.2	1.3	2.0	4.4	4.9	4.6
math	12*16	192.0	196	word	numeric	informative	4	1.4	2.0	2.0	3.2	5.1	3.7
math	17/14	1.2	-5	word	word	informative	-6	3.0	1.5	2.0	4.0	5.3	4.9
math	6*22	132.0	134	word	word	noninformative	2	2.7	1.7	2.0	5.7	4.3	3.0
math	8-15	-7.0	-1	word	numeric	noninformative	6	1.9	1.0	2.0	4.6	5.3	6.4
math	3+26	29.0	38	numeric	word	informative	9	1.1	2.4	2.0	3.1	5.3	3.8
baseline	12	12.0	19	numeric	word	noninformative	7	1.2	2.2	2.0	4.8	6.9	5.6
math	2*3	6.0	7	numeric	numeric	noninformative	1	2.5	1.9	2.0	3.6	4.1	5.4
baseline	7	7.0	8	numeric	word	informative	1	2.0	1.4	2.0	7.7	4.7	2.9
